#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot              
       1.055631686263e-05      -7.032909463330e-04      -5.276012437804e-04      -5.276012646841e-04      -7.032838617472e-04      -5.277188697679e-04 
       1.080220506983e-05      -7.364272364796e-04      -5.524662953947e-04      -5.524663183152e-04      -7.364194684504e-04      -5.525894598329e-04 
       1.105382074914e-05      -7.711243260509e-04      -5.785031847526e-04      -5.785032098840e-04      -7.711158087278e-04      -5.786321481660e-04 
       1.131129731052e-05      -8.074556999375e-04      -6.057671447946e-04      -6.057671723507e-04      -8.074463609412e-04      -6.059021799409e-04 
       1.157477127146e-05      -8.454983787642e-04      -6.343160719868e-04      -6.343161022015e-04      -8.454881388367e-04      -6.344574644409e-04 
       1.184438232934e-05      -8.853327714751e-04      -6.642104166728e-04      -6.642104498026e-04      -8.853215437597e-04      -6.643584653871e-04 
       1.212027343550e-05      -9.270432286164e-04      -6.955135991216e-04      -6.955136354475e-04      -9.270309177930e-04      -6.956686170780e-04 
       1.240259087108e-05      -9.707181493543e-04      -7.282920913608e-04      -7.282921311913e-04      -9.707046509457e-04      -7.284544062405e-04 
       1.269148432450e-05      -1.016449980891e-03      -7.626154180489e-04      -7.626154617217e-04      -1.016435180385e-03      -7.627853728998e-04 
       1.298710697090e-05      -1.064335325510e-03      -7.985562384191e-04      -7.985562863049e-04      -1.064319097318e-03      -7.987341923417e-04 
       1.328961555332e-05      -1.114475797806e-03      -8.361909908991e-04      -8.361910434053e-04      -1.114458004160e-03      -8.363773198752e-04 
       1.359917046582e-05      -1.166977373273e-03      -8.755994067177e-04      -8.755994642890e-04      -1.166957863309e-03      -8.757945043252e-04 
       1.391593583850e-05      -1.221951123148e-03      -9.168650625949e-04      -9.168651257205e-04      -1.221929731121e-03      -9.170693408505e-04 
       1.424007962457e-05      -1.279513323594e-03      -9.600754658483e-04      -9.600755350635e-04      -1.279489868110e-03      -9.602893560620e-04 
       1.457177368934e-05      -1.339785789644e-03      -1.005322306375e-03      -1.005322382268e-03      -1.339760071623e-03      -1.005546260063e-03 
       1.491119390141e-05      -1.402896051171e-03      -1.052701592281e-03      -1.052701675495e-03      -1.402867852453e-03      -1.052936082102e-03 
       1.525852022585e-05      -1.468977462236e-03      -1.102313734338e-03      -1.102313825580e-03      -1.468946543537e-03      -1.102559255050e-03 
       1.561393681968e-05      -1.538169906049e-03      -1.154264078449e-03      -1.154264178494e-03      -1.538136004970e-03      -1.154521147983e-03 
       1.597763212950e-05      -1.610619500932e-03      -1.208662688573e-03      -1.208662798269e-03      -1.610582329883e-03      -1.208931849051e-03 
       1.634979899135e-05      -1.686479569276e-03      -1.265625077573e-03      -1.265625197851e-03      -1.686438812860e-03      -1.265906896487e-03 
       1.673063473305e-05      -1.765910326295e-03      -1.325271978174e-03      -1.325272110056e-03      -1.765865638625e-03      -1.325567049517e-03 
       1.712034127874e-05      -1.849079645871e-03      -1.387729922466e-03      -1.387730067070e-03      -1.849030648106e-03      -1.388038867976e-03 
       1.751912525599e-05      -1.936163269731e-03      -1.453131403235e-03      -1.453131561789e-03      -1.936109546037e-03      -1.453454873687e-03 
       1.792719810534e-05      -2.027345131106e-03      -1.521615124052e-03      -1.521615297900e-03      -2.027286226347e-03      -1.521953800583e-03 
       1.834477619243e-05      -2.122817690337e-03      -1.593326254379e-03      -1.593326445001e-03      -2.122753103538e-03      -1.593680849888e-03 
       1.877208092267e-05      -2.222783022000e-03      -1.668417256743e-03      -1.668417465754e-03      -2.222712205749e-03      -1.668788517439e-03 
       1.920933885870e-05      -2.327451572899e-03      -1.747046959417e-03      -1.747047188587e-03      -2.327373927758e-03      -1.747435666182e-03 
       1.965678184045e-05      -2.437044678289e-03      -1.829382449465e-03      -1.829382700747e-03      -2.436959543551e-03      -1.829789419633e-03 
       2.011464710812e-05      -2.551793381269e-03      -1.915598205136e-03      -1.915598480657e-03      -2.551700036222e-03      -1.916024294036e-03 
       2.058317742794e-05      -2.671939848866e-03      -2.005877158487e-03      -2.005877460588e-03      -2.671837501489e-03      -2.006323261263e-03 
       2.106262122089e-05      -2.797737458226e-03      -2.100410776609e-03      -2.100411107852e-03      -2.797625240096e-03      -2.100877830014e-03 
       2.155323269440e-05      -2.929451499697e-03      -2.199399600387e-03      -2.199399963584e-03      -2.929328459456e-03      -2.199888584707e-03 
       2.205527197717e-05      -3.067359509379e-03      -2.303053506923e-03      -2.303053905152e-03      -3.067224604930e-03      -2.303565447934e-03 
       2.256900525709e-05      -3.211752353630e-03      -2.411592533386e-03      -2.411592970035e-03      -3.211604438555e-03      -2.412128504513e-03 
       2.309470492232e-05      -3.362933982569e-03      -2.525246717891e-03      -2.525247196660e-03      -3.362771803942e-03      -2.525807842273e-03 
       2.363264970581e-05      -3.521222830864e-03      -2.644257157782e-03      -2.644257682730e-03      -3.521045013903e-03      -2.644844610594e-03 
       2.418312483298e-05      -3.686952319752e-03      -2.768876410090e-03      -2.768876985676e-03      -3.686757356750e-03      -2.769491420944e-03 
       2.474642217304e-05      -3.860471005096e-03      -2.899368622192e-03      -2.899369253305e-03      -3.860257241698e-03      -2.900012477525e-03 
       2.532284039369e-05      -4.042144117980e-03      -3.036010714775e-03      -3.036011406760e-03      -4.041909744221e-03      -3.036684760483e-03 
       2.591268511951e-05      -4.232353630188e-03      -3.179092444869e-03      -3.179093203619e-03      -4.232096654901e-03      -3.179798088992e-03 
       2.651626909397e-05      -4.431499477418e-03      -3.328917370703e-03      -3.328918202633e-03      -4.431217726829e-03      -3.329656086187e-03 
       2.713391234529e-05      -4.639999941267e-03      -3.485803145400e-03      -3.485804057577e-03      -4.639691026505e-03      -3.486576473045e-03 
       2.776594235609e-05      -4.858293082218e-03      -3.650082641333e-03      -3.650083641495e-03      -4.857954383952e-03      -3.650892192858e-03 
       2.841269423706e-05      -5.086837059718e-03      -3.822104223909e-03      -3.822105320536e-03      -5.086465710069e-03      -3.822951685087e-03 
       2.907451090460e-05      -5.326111511809e-03      -4.002232816160e-03      -4.002234018573e-03      -5.325704358863e-03      -4.003119950189e-03 
       2.975174326267e-05      -5.576618147729e-03      -4.190850408150e-03      -4.190851726541e-03      -5.576171744367e-03      -4.191779059024e-03 
       3.044475038883e-05      -5.838882080338e-03      -4.388357088000e-03      -4.388358533527e-03      -5.838392652166e-03      -4.389329184132e-03 
       3.115389972462e-05      -6.113452804148e-03      -4.595171818715e-03      -4.595173403670e-03      -6.112916198249e-03      -4.596189376751e-03 
       3.187956727042e-05      -6.400905157730e-03      -4.811733242609e-03      -4.811734980448e-03      -6.400316822934e-03      -4.812798371240e-03 
       3.262213778477e-05      -6.701840487335e-03      -5.038500612650e-03      -5.038502518110e-03      -6.701195444936e-03      -5.039615516650e-03 
       3.338200498837e-05      -7.016888126714e-03      -5.275954951606e-03      -5.275957040848e-03      -7.016180909246e-03      -5.277121936099e-03 
       3.415957177288e-05      -7.346706397478e-03      -5.524599904843e-03      -5.524602195595e-03      -7.345931020095e-03      -5.525821379675e-03 
       3.495525041450e-05      -7.691983962253e-03      -5.784962818033e-03      -5.784965329717e-03      -7.691133859735e-03      -5.786241302310e-03 
       3.576946279258e-05      -8.053441277937e-03      -6.057595929295e-03      -6.057598683218e-03      -8.052509253094e-03      -6.058934056147e-03 
       3.660264061329e-05      -8.431831955679e-03      -6.343077487662e-03      -6.343080507179e-03      -8.430810118684e-03      -6.344478009148e-03 
       3.745522563855e-05      -8.827944263002e-03      -6.642012992248e-03      -6.642016302957e-03      -8.826823968155e-03      -6.643478784459e-03 
       3.832766992022e-05      -9.242602622032e-03      -6.955036422342e-03      -6.955040052348e-03      -9.241374381226e-03      -6.956570490741e-03 
       3.922043603981e-05      -9.676669387350e-03      -7.282811735692e-03      -7.282815715750e-03      -9.675322815484e-03      -7.284417220540e-03 
       4.013399735374e-05      -1.013104632654e-02      -7.626034082325e-03      -7.626038446188e-03      -1.012957003023e-02      -7.627714264449e-03 
       4.106883824429e-05      -1.060667652123e-02      -7.985431411571e-03      -7.985436196264e-03      -1.060505800389e-02      -7.987189718270e-03 
       4.202545437650e-05      -1.110454613255e-02      -8.361765984404e-03      -8.361771230472e-03      -1.110277171227e-02      -8.363605995502e-03 
       4.300435296088e-05      -1.162568635046e-02      -8.755835987721e-03      -8.755841739715e-03      -1.162374101421e-02      -8.757761442034e-03 
       4.400605302244e-05      -1.217117519969e-02      -9.168477156716e-03      -9.168483463272e-03      -1.216904252933e-02      -9.170491958314e-03 
       4.503108567580e-05      -1.274213992740e-02      -9.600564694699e-03      -9.600571609331e-03      -1.273980187477e-02      -9.602672920040e-03 
       4.607999440684e-05      -1.333975875641e-02      -1.005301495105e-02      -1.005302253241e-02      -1.333719556115e-02      -1.005522085576e-02 
       4.715333536085e-05      -1.396526340940e-02      -1.052678751875e-02      -1.052679583115e-02      -1.396245340291e-02      -1.052909554488e-02 
       4.825167763743e-05      -1.461994127315e-02      -1.102288718266e-02      -1.102289629660e-02      -1.461686070239e-02      -1.102530196607e-02 
       4.937560359217e-05      -1.530513785240e-02      -1.154236615514e-02      -1.154237614759e-02      -1.530176077038e-02      -1.154489253290e-02 
       5.052570914550e-05      -1.602225925887e-02      -1.208632606620e-02      -1.208633702215e-02      -1.601855708312e-02      -1.208896908523e-02 
       5.170260409860e-05      -1.677277470794e-02      -1.265592055640e-02      -1.265593256864e-02      -1.676871618668e-02      -1.265868548075e-02 
       5.290691245677e-05      -1.755821932193e-02      -1.325235764429e-02      -1.325237081442e-02      -1.755377025440e-02      -1.325524996356e-02 
